title,company,company_link,date,link,insights,description
Software Engineer,Beam Mobility,,2024-03-14,https://th.linkedin.com/jobs/view/software-engineer-at-beam-mobility-3852786682?position=29&pageNum=0&refId=CHnxGSMZIZEMwHDWIR7%2BqA%3D%3D&trackingId=KMjICsDbjD5warjlBmlQ9A%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Design, implement, and manage our vehicle management system and the app
Develop and maintain infrastructure as code using Terraform
Operate the GitOps pipelines using ArgoCD.
Collaborate with product owner to prioritize the work and maximize the impact
Troubleshoot and resolve product issues
Implement monitoring and alerting solutions to ensure system reliability and performance



Requirements


Strong proficiency in one of the following programming languages, Kotlin/Java/Golang
Experience designing and implementing scalable and highly available backend system
Familiarity with microservices architecture and distributed systems
Strong problem-solving and troubleshooting skills
Excellent communication and collaboration abilities



Benefits


Opportunity to make an impact to the world by transforming urban transportation.
Be part of a hyper-growth organization with plenty of opportunities to springboard your career.
Flexible and autonomous working environment with highly motivated and competent colleagues.

The Beam Group of Companies is an equal employment opportunity (EEO) organization. We are dedicated to providing an inclusive and diverse working environment where all are welcome regardless of race, language, religion, gender, nationality, age, disability or other divisive categorizations.

By submitting an application and/or confirming your candidacy, you acknowledge that you have read the Privacy Policy and consent to the Beam Group of Companies processing your data in accordance with the Privacy Policy. Please contact us if you change your mind at any time in relation to the consent you have provided.

Show more "
Back-end Software developer,Alstom,,2024-03-26,https://th.linkedin.com/jobs/view/back-end-software-developer-at-alstom-3871821545?position=30&pageNum=0&refId=CHnxGSMZIZEMwHDWIR7%2BqA%3D%3D&trackingId=tNVA5bap3wE8JnsDHMpRgw%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Req ID:450832

At Alstom, we understand transport networks and what moves people. From high-speed trains, metros, monorails, and trams, to turnkey systems, services, infrastructure, signalling and digital mobility, we offer our diverse customers the broadest portfolio in the industry. Every day, more than 75,000 colleagues lead the way to greener and smarter mobility worldwide, connecting cities as we reduce carbon and replace cars.

Job Purpose:

We are looking for an ambitious, self-driven mid/senior Back-end developer (or having with Front-end competence is a plus.), you will participate in all phases of the software development lifecycle and be working together in a team in a global and agile environment. You will mainly develop and maintain internal application that is used to test the logics created by other engineers, intended to control real time train signalling products. You will be working together with around 30 other developers (in Sweden, Thailand and possibly other countries as well) in a friendly and supportive working culture. Designs are created by our UX designers, features are outlined by the product manager and executed by the Program manager in an agile environment. We belong to the company software Tools organization and our mission is to build efficient tools that will reduce the time and cost for our user´s projects. As we are in the railway business, over time you will also learn much about this domain.

Key Responsibilities:


Software Development including analysis, design, implementation and test.
Estimation of new features.
Support and maintain existing features.
Collaborate with other team members and other teams.
Design of sustainable and expandable APIs.
Follow UX designs.
Have a data driven mindset.


Qualifications:


Bachelor of Science Degree in Computer Science or other relevant education or experience .
We are searching for new team members that have one or several of the listed competencies depending on your profile (back-end or both):
Experience or knowledge in Java & Spring framework or Node.js. (preferred)
Experience or knowledge in Javascript/Typescript, HTML and CSS.
Experience or knowledge in or familiar with Git version control software.
Experience or knowledge in Vue.js or Angular or React frameworks.
Experience or knowledge in Azure cloud services.


Things you’ll enjoy

Join us on a life-long transformative journey – the rail industry is here to stay, so you can grow and develop new skills and experiences throughout your career. You’ll also:


Enjoy stability, challenges and a long-term career free from boring daily routines.
Collaborate with transverse teams and helpful colleagues.
Utilize our hybrid working environment.
Steer your career in whatever direction you choose across functions and countries.
Benefit from our investment in your development, through award-winning learning.
Benefit from a fair and dynamic reward package that recognizes your performance and potential, plus comprehensive and competitive social coverage (life, medical, pension).


Alstom is the leading company in the mobility sector, solving the most interesting challenges for tomorrow’s mobility. That’s why we value inquisitive and innovative people who are passionate about working together to reinvent mobility, making it smarter and more sustainable. Day after day, we are building an agile, inclusive and responsible culture, where a diverse group of people are offered opportunities to learn, grow and advance in their careers, with options across functions and geographic locations. Are you ready to join a truly international community of great people on a challenging journey with a tangible impact and purpose?

Equal opportunity statement:

Alstom is an equal opportunity employer committed to creating an inclusive working environment where all our employees are encouraged to reach their full potential, and individual differences are valued and respected. All qualified applicants are considered for employment without regard to race, colour, religion, gender, sexual orientation, gender identity, age, national origin, disability status, or any other characteristic protected by local law.
Show more "
Associate Software Engineer,SS&C Technologies,,2024-03-23,https://th.linkedin.com/jobs/view/associate-software-engineer-at-ss-c-technologies-3826109076?position=31&pageNum=0&refId=CHnxGSMZIZEMwHDWIR7%2BqA%3D%3D&trackingId=d0uheQGg2sYd%2Ftwazt%2FF%2Fw%3D%3D&trk=public_jobs_jserp-result_search-card,[],"SS&C is a global provider of investment and financial services and software for the financial services and healthcare industries. Named to Fortune 1000 list as top U.S. company based on revenue, SS&C is headquartered in Windsor, Connecticut and has 20,000+ employees in over 90 offices in 35 countries. Some 18,000 financial services and healthcare organizations, from the world's largest institutions to local firms, manage and account for their investments using SS&C's products and services.

Job Description

Qualification


0 - 3 years of experience in Software Development with proven record of technical strength and mentorship experience.
Good communication in English and Thai (reading, writing and speaking) and be able to clearly articulate opinions and ideas. Basic English speaking skill is acceptable.
Good knowledge of Web programming – preferably with some of the following language/framework:
Java
JavaScript or TypeScript
Shell Script
Spring Boot and other Spring frameworks
Angular or other Java Script framework
Python
Basic Linux skill – able to use Linux commands to investigate issues
Basic network skill – understanding how things connect to each other’s and how to troubleshoot network connection issues.""
A highly productive developer with the curiosity and aptitude to learn and apply technology and business.
Excellent programming, analytical, reasoning and problem-solving abilities.
Capacity to meet deadlines and to work under pressure in a team environment.
Ability to focus on multiple tasks at once and to troubleshoot problems quickly.
Rotation of the on call duties 12*7 to support the production issues based on each application.
Knowledge of Mainframe, Relational Database and SQL, HTML,Github and Sharepoint is an advantage.


Unless explicitly requested or approached by SS&C Technologies, Inc. or any of its affiliated companies, the company will not accept unsolicited resumes from headhunters, recruitment agencies, or fee-based recruitment services. SS&C offers excellent benefits including health, dental, 401k plan, tuition and professional development reimbursement plan. SS&C Technologies is an Equal Employment Opportunity employer and does not discriminate against any applicant for employment or employee on the basis of race, color, religious creed, gender, age, marital status, sexual orientation, national origin, disability, veteran status or any other classification protected by applicable discrimination laws.


Show more "
C++ Software Developer,DotActiv,,2024-03-13,https://th.linkedin.com/jobs/view/c%2B%2B-software-developer-at-dotactiv-3855351229?position=32&pageNum=0&refId=CHnxGSMZIZEMwHDWIR7%2BqA%3D%3D&trackingId=Fygb%2Beu00iQIXT2rUXl%2F2A%3D%3D&trk=public_jobs_jserp-result_search-card,[],"At DotActiv, we pride ourselves on providing the South African retail market with high-quality category management software and advisory services aimed at making in-store shopping an all-round better experience. C++ software developers at DotActiv utilise a technology stack that includes the MFC Framework to deliver a standalone application solution which interacts with a Microsoft SQL or PostgreSQL database. We also utilise git and bitbucket to handle our source code.

Responsibilities


Translating application storyboards and use cases into functional applications;
Designing, building, and maintaining efficient, reusable, and reliable C++ code;
Ensuring the best possible performance, quality, and responsiveness of applications;
Identifying bottlenecks and bugs, and devising solutions to these problems; and
Maintaining code quality, organisation, and automatisation



Requirements


MINIMUM REQUIREMENTS:


Minimum of 3 years relevant development experience and expertise in an IT development environment
Grade 12 as per the national senior certificate requirements (Umalusi endorsed and must include higher grade Mathematics with a minimum of 70%);
A relevant IT certification by a recognised and acknowledged issuing authority. For example, A+, N+, MCSE, MCP, MCT, VCP, VCSP and more;
Proficient in C++, with a good knowledge of its ecosystems;
Strong understanding of object-oriented programming;
Skill for writing reusable C++ libraries;
Understanding fundamental design principles behind a scalable application;
Familiarity with Microsoft SQL Server (PostgreSQL would be advantageous);
Implementing automated testing platforms and unit tests;
Proficient understanding of code versioning tools (such as Git)



Benefits


WHAT TO EXPECT FROM DOTACTIV:


You'll receive a Cost to Company of between 57 000 - 65 000 (local currency) depending on your qualifications and experience;
This is a remote-working position, which allows you the flexibility to be based anywhere in South Africa
You'll have a say over product decisions. Read this piece for more information
You'll have a chance to upskill yourself in any field that adds value to your current position;


Show more "
"Full Stack Developer (Golang, PHP, ReactJS)",Garena,,2024-03-11,https://th.linkedin.com/jobs/view/full-stack-developer-golang-php-reactjs-at-garena-3847479070?position=33&pageNum=0&refId=CHnxGSMZIZEMwHDWIR7%2BqA%3D%3D&trackingId=JeMRVyx1lUdhSb2iqxmx7w%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Job Responsibilities:

Develop websites using both front-end and back-end programming languages
Write high-quality, clean, elegant, and maintainable code
Work with product owners to create software solutions
Design and implement various supporting tools as needed
Analyze requirements, design and develop functionalities based on the product requirements
Research to improve back end technologies and practices
Understand the product thoroughly, constantly optimise the product, identify and fix problems, improve stability and user experience




Job Qualifications:

2-3 years of experiences in developing web applications using Golang or PHP Laravel
Hands-on experience with at least one of the programming languages: Golang, Python, PHP
Good knowledge of relational databases, version control tools, and web services
Good communication skills (good command in English will be an advantage!)
Positive attitude, self-discipline, and work hard
Able to work flexible shifts and extended hours
Familiar with Linux development environments is a plus




Office Location:

AIA Capital Center Ratchada (Monday - Friday 10.00 - 19.00)
Show more "
"Junior Software Engineer, IgniteTech (Remote) - $60,000/year USD",Crossover,,2024-03-29,https://th.linkedin.com/jobs/view/junior-software-engineer-ignitetech-remote-%2460-000-year-usd-at-crossover-3871147980?position=35&pageNum=0&refId=CHnxGSMZIZEMwHDWIR7%2BqA%3D%3D&trackingId=3HMVsnB2gYv%2Fkbe4YP1d8A%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, IgniteTech. Have you got what it takes?

Do you see the future of business driven by intelligent automation? If you're an AI innovator with a knack for problem-solving, this role at IgniteTech is the perfect chance to make your mark.

At IgniteTech, we don't settle for incremental improvements or theoretical research. We're laser-focused on harnessing the practical power of LLMs to transform how businesses operate and unlock new levels of productivity. In this role, you'll be the mastermind behind this transformation.

You'll drive daily impact by:


Becoming an LLM wizard: You'll be the go-to expert, leveraging your LLM knowledge to design and develop innovative AI-powered tools and features.
Experimenting like a trailblazer: You'll constantly hunt for the latest AI tools like Amazon CodeWhisperer, integrating them seamlessly into our existing systems to unlock their potential. By developing prototypes and analyzing results, you will assess the impact of these advancements and pave the way for future innovation.
Mastering optimization: You'll identify performance bottlenecks and optimization strategies to ensure our AI infrastructure runs smoothly across AWS.


IgniteTech is where your creativity, skills, and passion for AI converge to create something remarkable. Our culture thrives on innovation, and we believe in empowering our specialists to explore, experiment, and excel.

Apply today and join IgniteTech's mission to revolutionize business with AI!

What You Will Be Doing


Spearhead the creation and enhancement of autonomous training and onboarding platforms using LLMs to automate tasks and streamline workflows.
Conduct hands-on experimentation with state-of-the-art AI technologies such as GPT-4 Vision and Amazon CodeWhisperer to integrate cutting-edge solutions into our product lineup.
Evaluate and refine AI solutions for superior performance and integration across various infrastructures, focusing on AWS to ensure scalability and efficient maintenance.


What You Won’t Be Doing


Routine maintenance of legacy systems; our focus is forward-looking solutions.
Endless meetings that hinder productivity; your time will be spent innovating and implementing.


Junior Software Engineer Key Responsibilities


The creation of AI-driven tools to automate tasks and streamline workflows, directly impacting the company's ability to innovate and improve its service offerings.


Basic Requirements


Professional experience leveraging LLMs, such as ChatGPT, Bing, Bard, or Claude, to automate manual tasks and boost your company's productivity
Proficiency in Python and API integration


About IgniteTech

If you want to work hard at a company where you can grow and be a part of a dynamic team, join IgniteTech!

Through our portfolio of leading enterprise software solutions, we ignite business performance for thousands of customers globally. We’re doing it in an entirely remote workplace that is focused on building teams of top talent and operating in a model that provides challenging opportunities and personal flexibility.

A career with IgniteTech is challenging and fast-paced. We are always looking for energetic and enthusiastic employees to join our world-class team.

We offer opportunities for personal contribution and promote career development. IgniteTech is an Affirmative Action, Equal Opportunity Employer that values the strength that diversity brings to the workplace.

There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!

Working with Crossover

This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $30 USD/hour, which equates to $60,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.

What to expect next:


You will receive an email with a link to start your self-paced, online job application.
Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.


Important! If you do not receive an email from us:


First, emails may take up to 15 minutes to send, refresh and check again.
Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.
Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.
If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply.


Crossover Job Code: LJ-5247-TH-Bangkok-JuniorSoftware


Show more "
"Junior Software Engineer, Trilogy (Remote) - $60,000/year USD",Crossover,,2024-03-29,https://th.linkedin.com/jobs/view/junior-software-engineer-trilogy-remote-%2460-000-year-usd-at-crossover-3871153626?position=36&pageNum=0&refId=CHnxGSMZIZEMwHDWIR7%2BqA%3D%3D&trackingId=XTONipfaJDGQ1CfvF4rHAw%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Crossover is the world's #1 source of full-time remote jobs. Our clients offer top-tier pay for top-tier talent. We're recruiting this role for our client, Trilogy. Have you got what it takes?

Ready to leverage your mastery of LLMs to drive productivity? At Trilogy, we're opening doors to an exceptional tech career, welcoming those who've honed their AI skills to elevate their expertise in a dynamic environment. We're offering a rare chance where your primary focus will be to further expand your proficiency in LLMs.

In an industry often filled with more buzzwords than tangible progress, Trilogy stands out as a hub of genuine innovation. Our focus is on practical, real-world applications aimed at reshaping industries. Imagine creating AI-driven tools that streamline workflow, automate tasks, or enhance decision-making processes, all to significantly boost productivity.

Your mandate? Harnessing LLMs to revolutionize how businesses operate, improving efficiency and effectiveness. You'll be architecting solutions that integrate AI seamlessly, making intricate processes more accessible and refining workflows for maximum output. Here, you won't be lost in bureaucratic hurdles or pitching ideas into the void. Instead, you'll witness the direct impact of your efforts, as your work directly influences the evolution of productivity tools.

Ready to unleash your expertise and become a force of change? Let's explore if you're the catalyst we're seeking for this exciting opportunity!

What You Will Be Doing


Rapidly advancing your AI expertise through specialized training and applying this knowledge to create autonomous, AI-driven platforms and tools
Experimenting with state-of-the-art AI tools like GPT-4 Vision and Amazon CodeWhisperer, integrating them into our developmental process to assess and enhance their utility
Evaluating and optimizing the implementation of AI solutions across various infrastructures, including AWS, to ensure seamless performance and integration


What You Won’t Be Doing


Traditional coding - our AI does the heavy lifting, freeing you to innovate and strategize
Being stuck on repetitive tasks - no two problems are the same


Junior Software Engineer Key Responsibilities

Architecting and deploying sophisticated, fully-automated AI systems that require zero human intervention for a truly scalable impact

Basic Requirements


Professional experience leveraging LLMs, such as ChatGPT, Bing, Bard, or Claude, to automate manual tasks and boost your company's productivity
Proficiency in Python and API integration


About Trilogy

Hundreds of software businesses run on the Trilogy Business Platform. For three decades, Trilogy has been known for 3 things: Relentlessly seeking top talent, Innovating new technology, and incubating new businesses. Our technological innovation is spearheaded by a passion for simple customer-facing designs. Our incubation of new businesses ranges from entirely new moon-shot ideas to rearchitecting existing projects for today's modern cloud-based stack. Trilogy is a place where you can be surrounded with great people, be proud of doing great work, and grow your career by leaps and bounds.

There is so much to cover for this exciting role, and space here is limited. Hit the Apply button if you found this interesting and want to learn more. We look forward to meeting you!

Working with Crossover

This is a full-time (40 hours per week), long-term position. The position is immediately available and requires entering into an independent contractor agreement with Crossover. The compensation level for this role is $30 USD/hour, which equates to $60,000 USD/year assuming 40 hours per week and 50 weeks per year. The payment period is weekly. Consult www.crossover.com/help-and-faqs for more details on this topic.

What to expect next:


You will receive an email with a link to start your self-paced, online job application.
Our hiring platform will guide you through a series of online “screening” assessments to check for basic job fit, job-related skills, and finally a few real-world job-specific assignments.


Important! If you do not receive an email from us:


First, emails may take up to 15 minutes to send, refresh and check again.
Second, check your spam and junk folders for an email from Crossover.com, mark as “Not Spam” since you will receive other emails as well.
Third, we will send to whatever email account you indicated on the Apply form - by default, that is the email address you use as your LinkedIn username and it might be different than the one you have already checked.
If all else fails, just reset your password by visiting https://www.crossover.com/auth/password-recovery if you already applied using LinkedIn EasyApply.


Crossover Job Code: LJ-5105-TH-Bangkok-JuniorSoftware.005


Show more "
Java Developer (Retail Platform),Makro PRO,,2024-03-07,https://th.linkedin.com/jobs/view/java-developer-retail-platform-at-makro-pro-3779321673?position=37&pageNum=0&refId=CHnxGSMZIZEMwHDWIR7%2BqA%3D%3D&trackingId=AzwbGKapcWjIpQQxXB8FAA%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Work with development teams and product managers to ideate software solutions
Design client-side and server-side architecture
Ability to write effective database programs.
Develop and manage well-functioning databases and applications
Write effective APIs
Test software to ensure responsiveness and efficiency
Troubleshoot, debug and upgrade software
Create security and data protection settings
Build features and applications with a mobile responsive design
Write technical documentation
Work with data scientists and analysts to improve software


Requirements


Demonstrable experience in Core Java, Spring Boot,XML
Good knowledge on JBoss Seam, JSF, Hibernate, JBoss7.x
Knowledge on working with Oracle Database and Familiar with Redis DB.
Deep knowledge of Object-Oriented programing and engineering principles like SOLID
Significant experience writing and utilizing RESTful APIs,GraphQL API's, asynchronous message queues, and services and performance tuning large scale apps
Experience with building and maintaining large scale distributed architectures (e.g. microservices-based)
Knowledge on Redis is added advantage.
Comfortable with AWS tools including ECS, Cloudwatch,Lambda, RDS - Certification is a big plus
Comfortable with modern devops best practices and tools including Kubernetes, Terraform, CI/CD, ElasticSearch
Excellent communication and teamwork skills.
Degree in Computer Science or related field.
Show more "
Software Engineer,Teradyne,,2024-03-20,https://th.linkedin.com/jobs/view/software-engineer-at-teradyne-3834017734?position=38&pageNum=0&refId=CHnxGSMZIZEMwHDWIR7%2BqA%3D%3D&trackingId=kVFUA%2Fpi%2B7Y5L%2FpSwqB9%2Bw%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Organization & Role

Teradyne is the global test and automation specialist, powering next-generation technologies through sophisticated solutions. Behind every electronic device you use, Teradyne's test technology ensures your device works right the first time, every time! Together, T eradyne companies deliver manufacturing automation across industries and applications around the world!

As a Software Engineer in the Production Board Test group, you will join our global team developing creative and innovative software solutions supporting our in-circuit test equipment. As a key contributor for our team, your experience and skill set will play a key role in our efforts to develop, deploy, and maintain a platform that tests and screens a majority of the world’s electronic assemblies..

Teradyne is looking for an experienced software build engineer who also has development experience to join an exciting, dynamic, hardworking, engaging, and collaborative team.

Responsibilities


Participate as both a software build engineer and a software engineer on the TestStation product line.
Design and develop the tools to allow efficient configuration management, build and release of software developed in C/C++, C#, NET, XML, and SQL Server databases
Perform Source code change control; issue tracking; configuration management
Create product builds and deployment packages
Perform daily builds for multiple software releases. Must be able to support multiple code lines; troubleshoot and resolve issues
Strategize on best practices for ongoing parallel development, featuring branching, merging, and common library management.
Work on a variety of projects and participate in all phases of software development – design, implementation, debug, test, verification
Design and implement Windows software in C, C++ and C# for existing or new test platforms
Participate in troubleshooting, debug and resolution of customer issues on existing and new projects


Basic Qualifications & Skills


Experience with a Make build system, such as GNU Make, Microsoft NMake
Experience with Windows installer package (MSI) (InstallShield experience a plus)
Strong Scripting Skills: Batch, Perl, Powershell
Proficiency with a source code version control tool. (IBM Clearcase a plus)
Demonstrated experience developing with C/C++, C#, .NET framework, XML
Experience with Windows programming and Microsoft Visual Studio
Demonstrated experience with Object Oriented design and programming skills
Highly motivated team player who can excel in a dynamic environment with strong personal discipline, and good verbal and written communication skills
Strong analytical/problem solving skills
Strong sense of team-oriented problem-solving techniques
Ability to work individually on problems, but recognize appropriate escalation timelines and methods
Show more "
Associate/Engineer - Integration,PayU,,2024-03-30,https://th.linkedin.com/jobs/view/associate-engineer-integration-at-payu-3877696483?position=39&pageNum=0&refId=CHnxGSMZIZEMwHDWIR7%2BqA%3D%3D&trackingId=6Na%2BufgwN5JlMF8hp0pEKg%3D%3D&trk=public_jobs_jserp-result_search-card,[],"About PayU

PayU, a leading payment and Fintech company in 50+ high-growth markets throughout Asia, Central and Eastern Europe, Latin America, the Middle East and Africa, part of Prosus group, one of the largest technology investors in the world is redefining the way people buy and sell online for our 300.000 + merchants and millions of consumers.

As a leading online payment service provider, we deploy more than 400 payment methods and PCI-certified platforms to process approximately 6 million payments every single day.

Thinking of becoming a PayUneer and you are curious to know more about us? Read more about the life in PayU here

Red Dot Payment is a payment service provider in the Southeast Asia region to businesses (i.e. merchants) looking to accept digital and online payments (including credit and debit cards) by delivering a suite of e/m-Commerce payment gateway solutions, payment-related marketing and consulting services. Certified by the leading international payment schemes such as Visa, MasterCard, American Express, JCB, and China UnionPay, RDP offers a complete range of secure payment processing solutions in markets such as Singapore, Indonesia, Thailand and more to come.

Join the dynamic team at Red Dot Payment and be a part of our growth journey!

Job Description:


Provide first and second line support to merchants during their implementation of payment processing technology
Answer all merchants’ integration related questions on configuration, debugging, documentation, testing and go live support
Handle incidents as related to the integration (investigation, troubleshooting, escalation, resolution, reporting, time tracking and analysis of incidents)
Work closely with Business Support, Sales, Software and Web development to resolve issues during customer trials, integrations or post implementation support
Highlight support issues which affect customer satisfaction and provide recommendations for actions


Requirements


Degree in Information Technology or Computer Science or equivalent with 2-4 years’ relevant work experience in FinTech/Payment industry
Technical experience with:
Any programming languages (PHP, Javascript, etc)
MySQL for database
Android and iOS knowledge is a plus
Prior experience in developing or maintaining web sites using any of the following: WordPress, Magento, Opencart, Prestashop
Soft skills:
Strong customer focus, problem solving skills & critical thinking
Proactive and strives to meet targets
Good communication skills, able to build and maintain strong relationships
Able to communicate with English and Mandarin-speaking clients


Red Dot Payment is a payment gateway/solutions company founded in Singapore, with footprints in various countries such as Indonesia, Thailand, Australia and more to come. We are a part of PayU - a leading financial services provider in global growth markets, with operations in Asia, Central and Eastern Europe, Latin America, the Middle East and Africa.

Our mission is to provide solutions to our clients' online payment needs. Designing a Payment technology system around a solid understanding of our clients' specific business process is one of our core competencies. We believe that the people in our team is the core of the Company. Join us in our exciting journey as we expand and grow our business.

About Us

At PayU, we are a global fintech investor and our vision is to build a world without financial borders where everyone can prosper. We give people in high-growth markets the financial services and products they need to thrive. Our expertise in 18 high-growth markets enables us to extend the reach of financial services. This drives everything we do, from investing in technology entrepreneurs, to offering credit to underserved individuals, to helping merchants buy, sell and operate online. Being part of Prosus, one of the largest technology investors in the world, gives us the presence and expertise to make a real impact. Find out more www.payu.com

Our Commitment To Building A Diverse And Inclusive Workforce

As a global and multi-cultural organization with varied ethnicities thriving across locations, we realize that our responsibility towards fulfilling the D&I commitment is huge. Therefore, we continuously strive to create a diverse, inclusive and safe environment, for all of our people, communities and customers. Our leaders are committed to create an inclusive work culture which enables transparency, flexibility and unbiased attention to each and every PayUneer so they can succeed, irrespective of gender, color or personal faith. An environment where every person feels they belong, that they are listened to, and where they are empowered to speak up. At PayU we have zero tolerance towards any form of prejudice whether a specific race, ethnicity, or of persons with disabilities or the LGBTQ communities.
Show more "
Backend Developer,Accenture Southeast Asia,,2024-03-25,https://th.linkedin.com/jobs/view/backend-developer-at-accenture-southeast-asia-3870869140?position=42&pageNum=0&refId=CHnxGSMZIZEMwHDWIR7%2BqA%3D%3D&trackingId=OZX%2FIs6z4O0DQWcdWBV3zQ%3D%3D&trk=public_jobs_jserp-result_search-card,[],"About Accenture

Accenture is a global professional services company with leading capabilities in digital, cloud and security. Combining unmatched experience and specialized skills across more than 40 industries, we offer Strategy and Consulting, Interactive, Technology and Operations services—all powered by the world’s largest network of Advanced Technology and Intelligent Operations centres. Our 506,000 people deliver on the promise of technology and human ingenuity every day, serving clients in more than 120 countries. We embrace the power of change to create value and shared success for our clients, people, shareholders, partners and communities. Visit us at www.accenture.com.


Job Description


Act as the ongoing interface between the client and the system or application. Dedicated to quality, using exceptional communication skills to keep our world class systems running. Can accurately define a client issue and can interpret and design a resolution based on deep product knowledge. Provide ongoing technical support and maintenance of production and development database systems within a defined operating model and processes Provide L2/L3 software support and implement technology at the operating system-level across all server, and for particular software solutions/vendors/brands

Technical Experience:



Administer, develop, test, or demonstrate databases.


Perform many related database functions across one or more teams or clients, including designing, implementing, and maintaining new databases, backup/recovery, and configuration management.


Install database management systems (DBMS) and provide input for modification of procedures and documentation used for problem resolution and day-to-day maintenance.


Database refresh to non-production DB.


Daily database health check monitoring, tuning and minor SQL reviews.


Be responsible for managing Production and Non-prod databases for client.


Ticket handling includes incidents service requests and problem management.


Ability to articulate an issue and be responsive to client, handle client communication. Configuration and release management.


Ability to document Root cause analysis.


Design and build enablement, Build management. Understand and manage Application Architecture. User Management, Module Management.


Service Delivery per SLAs. Database administration for Production and other environments, Backup and Recovery activities, Ability to carry out DR activities.


Performance Tuning. Backup restore activities. Troubleshooting and resolving performance issues and knowledge of related tools AWR, ADDM, OEM.


Should be well versed on Database migration methodologies.


Proven performance tuning and SQL tuning skills.


Well versed in DB upgrades and migration activities.


Responsible in performance test planning and execution.


Database optimization & Database security admin.


Shell Scripting. On-call support based on project agreement.


Work closely with affected parties to resolve issues



Job Qualifications

Must Have Skills: AWS RDS, PostgreSQL, MySQL

Good To Have Skills: Dynamo DB, MongoDB, AWS Cloud skills, JIRA.

You will also have opportunities to hone your functional skills and expertise in an area of specialization. We offer a variety of formal and informal training programs at every level to help you acquire and build specialized skills faster. Learning takes place both on the job and through formal training conducted online, in the classroom, or in collaboration with teammates. The sheer variety of work we do, and the experience it offers, provide an unbeatable platform from which to build a career.

Accenture is an equal opportunities employer and welcomes applications from all sections of society and does not discriminate on grounds of race, religion or belief, ethnic or national origin, disability, age, citizenship, marital, domestic or civil partnership status, sexual orientation, gender identity, or any other basis as protected by applicable law.


Show more "
Technical Developer,We Supply Talent,,2024-03-12,https://th.linkedin.com/jobs/view/technical-developer-at-we-supply-talent-3853090946?position=43&pageNum=0&refId=CHnxGSMZIZEMwHDWIR7%2BqA%3D%3D&trackingId=oNIffKtw1xkuruLkEooJRA%3D%3D&trk=public_jobs_jserp-result_search-card,[],"Responsibilities:


In charge of development in new technologies related to SAP products such as SAP Business Technology Platform (BTP), SAP Cloud Platform Integration (CPI), SAP Mobile Platform, SAP Conversational AI, SAP Analytics Cloud, Plateau Report Designer, etc.
Responsible as Technical Consultant, hands-on coding and working closely with project director
Working on all related SAP development for example, ABAP report, SAP workflow, Enhancement, Form development, Including web development for example, SAP UI5, SAP Webdynpro, HTML5 with Java script, etc. Other related technology for example, Integration script (groovy script), MS.net, MS Excel macro, PRD, etc.



Requirements to fit in this role :


Bachelors Degree in Computer Engineering, Computer Science, Business Computer, Information Technology or equivalent
Having at least one of knowledge in Node.js, HTML5 with Java script, jQuery, groovy script, iOS



Development, Android Development, MS.net, MS Excel macro, etc.


Strong programming logic and analytical skill
Be a self-motivated, enthusiastic team player, fast learner, and willing to pick-up new knowledge
Ability to work under pressure to meet deadlines
Good command of spoken and written English

Show more "
